Bug ID,Bigrams
1355589,"['created attachment', 'attached video', 'look like', 'see attached', 'attachment tab']"
1385519,"['downloads tags', 'updating downloads']"
1358722,"['js promise', 'promise backend', 'promise prototype', 'promise jsm', 'jsm promise']"
1367002,"['looks like', 'close button', 'checked elsewhere', 'button already', 'problem prior']"
1402171,"['txt gz', 'browser chrome', 'id repo', 'job id', 'chrome windows']"
1416434,"['backing log', 'id repo', 'runs artifacts', 'job id', 'task runs']"
1411296,"['job id', 'public logs', 'com job', 'mozilla com', 'logs live']"
1393923,"['txt gz', 'windows txt', 'debug debug', 'clipboard windows', 'debug test']"
1417534,"['live log', 'com job', 'public logs', 'job id', 'repo mozilla']"
1390910,"['id repo', 'com id', 'gmail com', 'runs public', 'public logs']"
1412462,"['com job', 'mozilla com', 'repo mozilla', 'artifacts public', 'chrome chunked']"
1387674,"['task runs', 'job id', 'artifacts public', 'public logs', 'com job']"
1357058,"['request sent', 'tour notification', 'notification based', 'end server', 'back end']"
1390911,"['backing log', 'live backing', 'com job', 'gmail com', 'public logs']"
1402642,"['live backing', 'backing log', 'artifacts public', 'runs artifacts', 'public logs']"
1402331,"['three consistent', 'toolbars menu', 'popping toolbars']"
1327590,"['er url', 'ar url', 'data er', 'open url', 'url data']"
1329482,"['links behind', 'freeze links', 'anything else', 'links normal', 'quick links']"
1391945,"['created screenshot', 'bookmarks folder', 'bookmarks toolbar', 'bookmarks button', 'update bookmarks']"
1415460,"['backing log', 'live backing', 'task runs', 'job id', 'id repo']"
1391029,"['artifacts public', 'public logs', 'runs artifacts', 'task runs', 'mozilla com']"
1398443,"['gmail com', 'id repo', 'job id', 'public logs', 'task runs']"
1414181,"['com job', 'job id', 'backing log', 'live backing', 'id repo']"
1398384,"['backing log', 'com job', 'jobs repo', 'runs artifacts', 'task runs']"
1386231,"['nightly debian', 'debian testing', 'created attachment', 'order would', 'opposite order']"
1388598,"['backing log', 'repo mozilla', 'mozilla inbound', 'logs live', 'live backing']"
1398879,"['believe search', 'bug points', 'activity stream']"
1408271,"['task runs', 'runs log']"
1396234,"['public logs', 'artifacts public', 'live backing', 'backing log', 'com job']"
1345438,"['report bp', 'crash report', 'ubuntu lts', 'start anymore', 'lts firefox']"
1336453,"['try task', 'runs artifacts', 'task runs', 'log found', 'repo try']"
1379781,"['id repo', 'job id', 'com job', 'artifacts public', 'public logs']"
1373133,"['browser chrome', 'repo mozilla', 'id repo', 'txt gz', 'windows txt']"
1357722,"['tcpip tcp', 'tcpip raw', 'tcpip udp', 'safe mode', 'firefox crashes']"
1354848,"['firefox likes', 'bp firefox', 'report bp', 'win install', 'fresh win']"
1372597,"['runs artifacts', 'id repo', 'artifacts public', 'logs live', 'public logs']"
1384882,"['bits intended', 'intended security', 'bits cipher', 'real bits', 'using bits']"
1389493,"['application level', 'victim tested', 'nested calls', 'bgcolor center', 'stack overflow']"
1331450,['report bp']
1390014,"['unexpected fail', 'job id', 'test unexpected', 'cause job', 'fail browser']"
1335755,"['compositor status', 'features compositor', 'service helper', 'dll available', 'hd graphics']"
1406001,"['api call', 'self hr', 'api fails', 'get url', 'exists means']"
1331184,['report bp']
1374444,"['browser chrome', 'chrome windows', 'mozilla com', 'id repo', 'com job']"
1359152,"['backing log', 'public logs', 'logs live', 'live backing', 'artifacts public']"
1348766,"['firefox segfault', 'signal segfault', 'agent mozilla', 'segfault actual', 'user agent']"
1365713,"['jsm read', 'read resource', 'null learn', 'instead learn', 'com since']"
1410326,"['complete overview', 'overview questions', 'questions thanks', 'report bp', 'bugs bp']"
1391184,"['enable container', 'general tab', 'str open', 'deselect enable', 'container tabs']"
1393103,"['consistent break', 'menu attempt', 'launch nightly', 'nightly attempt', 'experience expected']"
1387721,"['slow vs', 'tab bar', 'slow compared', 'tab dragging', 'vs pre']"
1388042,"['buggy see', 'attached video', 'tabs since', 'nightly de', 'see attached']"
1373652,"['google chrome', 'chrome safari', 'refresh buttons', 'help google', 'buttons like']"
1401494,"['str enable', 'enable bookmarks', 'compacted squeezed', 'bookmarks toolbar', 'height compacted']"
1329518,"['browsers png', 'centered firefox', 'chrome read', 'correctly screenshot', 'firefox ignore']"
1344289,"['last week', 'two reports', 'private browser', 'browser windows', 'regular windows']"
1339154,"['longer usable', 'usable expected', 'usable jsbin', 'reproduce html', 'html input']"
1374698,"['investigate adding', 'limited particular', 'suggest url', 'pretty limited', 'chrome api']"
1388174,"['panel views', 'sub panel', 'menu library', 'library menu', 'page action']"
1394923,"['drawing correctly', 'attached image', 'attachment hamburger', 'middle line', 'created attachment']"
1394463,['mocks found']
1402478,"['rapid succession', 'flashy jarring', 'smooth transition', 'individual themes', 'sudden hard']"
1406031,"['partly png', 'hidden behind', 'fairly sure', 'png edit', 'containers icon']"
1375819,"['content get', 'vnc connection', 'running shell', 'one click', 'open click']"
1390178,"['addons xpi', 'engines addons', 'xpi warn', 'modules addons', 'error addons']"
1356855,"['file applications', 'contents resources', 'jar file', 'resources omni', 'gre modules']"
1359990,"['chrome global', 'global content', 'content bindings', 'jar file', 'file home']"
1398468,"['search glass', 'failed downloads', 'glass icon', 'icon next']"
1363366,"['old customize', 'customize implementations', 'unused strings', 'strings dtd', 'strings anymore']"
1416260,"['png firefox', 'created attachment', 'web pages', 'attachment png']"
1345418,"['debug test', 'macosx txt', 'inbound debug', 'debug mozilla', 'mozilla debug']"
1376143,"['immediately respawn', 'release firefox', 'next launch']"
1419938,"['toggle anti', 'anti fingerprinting', 'facebook wants', 'wants access']"
1386999,"['screenshot png', 'created attachment', 'attachment fx', 'bug screenshot', 'fx bug']"
1367254,"['facebook click', 'load facebook', 'peg open', 'open inspector', 'created attachment']"
1345828,"['tabs regardless', 'fx already', 'ios fx', 'old sync', 'sync profile']"
1349469,"['bug need', 'telemetry probe', 'add telemetry', 'many times']"
1388126,"['old nightly', 'start menu', 'nightly icon', 'menu entry', 'entry still']"
1397150,"['high resulting', 'tab drop', 'density theme', 'drop indicator', 'big high']"
1390655,"['settings nightly', 'nearby content', 'nightly fresh', 'default settings', 'content default']"
1328841,"['repo mozilla', 'mozilla task', 'id repo', 'runs artifacts', 'live backing']"
1410066,"['move mouse', 'first bad', 'tooltip last', 'last good']"
1370827,"['created attachment', 'reduce browser', 'toolbar buttons', 'str reduce', 'increase vertical']"
1420651,"['area width', 'fits pane', 'preferences confirm', 'width fits', 'actual results']"
1356767,"['jar c', 'c program', 'content bindings', 'ja components', 'global content']"
1393527,"['see screenshots', 'png see', 'using nightly', 'osx using', 'screen shot']"
1401595,"['bookmarks menu', 'profile notice', 'french firefox', 'bookmarked folder', 'recently bookmarked']"
1349785,"['people want', 'write tests', 'content processes', 'explicitly test', 'test multiple']"
1343645,"['update background', 'extension permissions', 'extension update', 'background js', 'browser extension']"
1374703,"['jpg see', 'created attachment', 'see attachment', 'attachment jpg']"
1388175,"['str go', 'change back', 'default notice', 'select appearance', 'appearance select']"
1354430,"['artifacts public', 'runs artifacts', 'central eb', 'mozilla central', 'eb g']"
1356326,"['safari steps', 'mobile safari', 'codes thank', 'inj xxxxx', 'html inj']"
1398470,[]
1365789,"['created attachment', 'attachment screenshot', 'url background', 'central source', 'theme css']"
1375664,"['new main', 'location js', 'browser self', 'line data', 'component returned']"
1376144,"['unnamed panic', 'entirely broken', 'panic begin', 'begin panic', 'rust panic']"
1347419,"['might need', 'little bit', 'furthermore bug', 'bug getting', 'getting landed']"
1390449,"['general time', 'square tabs', 'time frame']"
1391305,"['sidebar categories', 'ar sidebar', 'config switch', 'categories look', 'distinctive background']"
1399610,"['compact mode', 'something new', 'basically bug']"
1403054,"['running nightly', 'expected results', 'f expected', 'created attachment', 'free press']"
1403576,"['firefox quantum', 'installed firefox', 'created attachment', 'options help', 'get firefox']"
1351458,"['id repo', 'debug test', 'inbound debug', 'macosx txt', 'inbound builds']"
1345028,"['bindings listbox', 'str get', 'resource services', 'mozilla gecko', 'error str']"
1390623,"['third one', 'one gear', 'third gear', 'default toolbar', 'gear icons']"
1348734,"['expected results', 'sound indicator', 'works expected', 'safari edge', 'chrome safari']"
1370828,"['reduce browser', 'browser window', 'minimum regression', 'change zoom', 'buttons r']"
1378260,"['storage permission', 'permission prompt', 'july nightly', 'pm png', 'created attachment']"
1391399,"['created attachment', 'attachment dark', 'focus ring', 'macos nightly', 'theme macos']"
1401632,"['update application', 'facebook pinned', 'nightly ubuntu', 'restart update', 'pinned may']"
1350482,"['live backing', 'logs live', 'id repo', 'mozilla com', 'task runs']"
1364786,"['release regression', 'added see', 'regression str', 'maybe restart', 'see menu']"
1373029,['headless becomes']
1333877,"['reproduce apply', 'apply appearance', 'add custom', 'appears expected', 'appearance none']"
1403497,"['crashes every', 'every time', 'attachment screen', 'original repo', 'created attachment']"
1373963,"['item seems', 'seems look', 'observe sub', 'step ar', 'key observe']"
1406037,"['see attached', 'stub installer', 'created attachment', 'firefox logo', 'attachment screenshot']"
1356338,"['id repo', 'job id', 'logs live', 'runs artifacts', 'task runs']"
1397451,"['grey box', 'remain grey', 'reproduce open', 'light grey', 'expected icon']"
1392718,"['unexpected places', 'dialog box', 'bookmarks show']"
1380592,"['track tour', 'tour telemetry']"
1399829,"['created attachment', 'sync log']"
1372281,"['please review', 'edit usp', 'usp sharing', 'release notes', 'approve release']"
1386716,"['attached screenshot', 'nightly png', 'top icons', 'png seems', 'new tab']"
1387145,"['see running', 'compact light', 'mac making', 'x color', 'close tab']"
1345425,"['en expected', 'http website', 'p en', 'open http', 'password fields']"
1381679,"['job id', 'com job', 'mozilla com', 'id repo', 'logs live']"
1415892,"['per platform', 'stream pull', 'platform css']"
1374683,"['ux jpg', 'created attachment', 'see screenshot', 'jpg see']"
1360273,"['chrome browser', 'chrome global', 'browser content', 'browser xml', 'global content']"
1334708,"['task runs', 'logs live', 'com job', 'public logs', 'gmail com']"
1370829,"['r dao', 'pop ups', 'ups like', 'vertical padding', 'buttons r']"
1350118,"['artifacts public', 'runs artifacts', 'id repo', 'job id', 'public logs']"
1339452,"['runs artifacts', 'public logs', 'job id', 'backing log', 'logs live']"
1351955,"['adopted always', 'search adopted']"
1328359,"['txt gz', 'windows txt', 'inbound builds', 'files de', 'job id']"
1360818,"['created attachment', 'avoids shutdown', 'regression window', 'window central', '— bug']"
1387422,"['page toolbar', 'belongs together', 'site actions', 'rss subscribe', 'button belongs']"
1330081,"['anything else', 'feature solve', 'google chrome', 'problem would', 'problem videos']"
1392186,"['could lead', 'u png', 'macos google', 'windows macos', 'png firefox']"
1362241,"['created attachment', 'open menu', 'menu customize', 'actual results', 'palette png']"
1402980,"['finished upgrading', 'horizontal grey', 'window additionally', 'pm png', 'semi transparent']"
1386355,"['test window', 'test testing', 'unit test', 'test log', 'warning mach']"
1390188,"['open lots', 'gif open', 'created attachment', 'scrolled reasonably', 'end expected']"
