Bug ID,Bigrams
548949.0,"['maven build', 'jars etc', 'file using', 'topic org', 'dependencies jars']"
549657.0,"['source code', 'builder never', 'binary form', 'completes forever', 'library source']"
551907.0,"['would like', 'swt internal', 'swt widgets', 'virtual machine', 'report please']"
553073.0,"['lambda run', 'sdk version', 'environment java', 'eclipse sdk', 'java virtual']"
559921.0,"['class sample', 'bug cgi', 'successful execution', 'see bug', 'sample main']"
560574.0,"['directory option', 'get rid', 'start debugging', 'system directory', 'issue regarding']"
560656.0,"['feature feature', 'git feature', 'package java', 'bottom page', 'rcp feature']"
560963.0,"['variable selection', 'selection children', 'property tester', 'ui model', 'launch ui']"
561633.0,"['null tooltip', 'tooltip null', 'see eclipse', 'true description', 'eclipse ide']"
564112.0,"['service unmarshal', 'formed invalid', 'invalid response', 'version invalid', 'service marketplace']"
564278.0,"['property access', 'property event', 'model property', 'java lang', 'lang reflect']"
564803.0,"['windows user', 'something particular', 'handler org', 'workspace install', 'ever cause']"
565976.0,"['loader module', 'module start', 'workbench information', 'internal runtime', 'runtime internal']"
567338.0,"['another source', 'renderers swt', 'workbench renderers', 'poms use', 'collect dependencies']"
568165.0,"['latest official', 'ide workbench', 'jdk bootloader', 'jre linux', 'address jar']"
568504.0,"['install tomcat', 'tomcat server', 'java installed', 'dialogs workbench', 'loader module']"
568556.0,"['product eclipse', 'details product', 'internal compiler', 'compiler parser', 'parser scanner']"
568606.0,"['diagnose diagnose', 'events build', 'string init', 'parser diagnose', 'offset count']"
569484.0,"['id macos', 'macos sur', 'scroll explicitly', 'single stepping', 'sur version']"
570357.0,"['current state', 'debugger show', 'int main', 'program finishes', 'main puts']"
572634.0,"['following exception', 'internal loader', 'function supplier', 'loader buddy', 'lang classloader']"
575650.0,"['near impossible', 'hangs windows', 'task manager', 'documents folder', 'eclipse crashed']"
576278.0,"['internal compiler', 'compiler class', 'eclipse jdt', 'jdt internal', 'recent eclipse']"
510605.0,"['c c', 'c remote', 'remote remote', 'c executable', 'remote internal']"
512985.0,"['internal app', 'editor error', 'local file', 'app eclipse', 'open editor']"
513744.0,"['egit ui', 'eclipse egit', 'repositories view', 'put c', 'search pop']"
514617.0,"['hashcode function', 'shorter name', 'error hello', 'remove one', 'java file']"
515209.0,"['graphical note', 'project class', 'one thanks', 'whole member', 'source target']"
515308.0,"['used workspace', 'last used', 'sierra please', 'macbook pro', 'macos sierra']"
515953.0,"['ui trace', 'id started', 'eclipse ui', 'container module', 'enabling components']"
516038.0,"['internal ui', 'internal core', 'jdt internal', 'ui thread', 'ui texteditor']"
517014.0,"['action action', 'action menu', 'eclipse action', 'trace java', 'workbench session']"
517791.0,"['java lang', 'org eclipse', 'download jars', 'org apache', 'eclipse aether']"
519343.0,"['project accept', 'jdt versioning', 'left nav', 'terminal type', 'mac os']"
520073.0,"['operation public', 'public operation', 'public element', 'element public', 'public class']"
520149.0,"['following exception', 'trust manager', 'manager refresh', 'exception java', 'issue updating']"
520234.0,"['refresh update', 'tree nodes', 'mars neon', 'project tree', 'versions mars']"
520287.0,"['quick fix', 'allow configuring', 'configure problem', 'new spammy', 'least one']"
522097.0,"['eclipse debug', 'nullpointerexception java', 'java lang', 'ui debug', 'org eclipse']"
526206.0,"['compiling correctly', 'create detailed', 'detailed stacktrace', 'jdt internal', 'hotspot bit']"
526533.0,"['action summary', 'summary eclipse', 'blocking issue', 'line start', 'icon yet']"
526974.0,"['modifies invalidates', 'sth like', 'data changes', 'removing lines', 'base event']"
527953.0,"['resolved errors', 'cdt behaves', 'c c', 'significant problem', 'coding pattern']"
528109.0,"['apparently happened', 'two files', 'compiled type', 'syntax error', 'pb syntax']"
531037.0,"['os mac', 'mac os', 'version photon', 'sdk version', 'java lang']"
531499.0,"['macos added', 'git repos', 'showing loading', 'refactoring deleting', 'team provider']"
531870.0,"['start seeing', 'seeing errors', 'following exception', 'exe environment', 'jdt internal']"
534355.0,"['widgets display', 'display window', 'display run', 'equinox launcher', 'bundle org']"
534563.0,"['attached screenshots', 'option substitutions', 'attachment screenshots', 'feature entering', 'really drive']"
534732.0,"['framework arguments', 'arguments product', 'release codename', 'line arguments', 'generic ubuntu']"
536281.0,"['jface window', 'jface dialogs', 'jface wizard', 'eclipse jface', 'runtime internal']"
537019.0,"['thread run', 'lang thread', 'version vendor', 'debug output', 'compiler compiler']"
538059.0,"['market market', 'eclipse market', 'main invoke', 'launcher main', 'sun reflect']"
